time,pgd
2025-05-10 17:38:00,1.669687192912552e-08
2025-05-11 02:56:00,1.2648334949593927e-08
2025-05-11 11:51:00,3.410446239540313e-08
2025-05-11 15:22:00,1.0227030452693378e-08
2025-05-12 03:22:00,1.21625260317713e-08
2025-05-12 11:15:00,1.978671160757064e-08
2025-05-12 13:57:00,8.058654793702446e-09
2025-05-12 14:07:00,7.096514646444925e-09
2025-05-13 11:54:00,1.020307319393489e-08
2025-05-13 12:42:00,1.2799305641022619e-08
2025-05-13 16:39:00,4.739347114420764e-08
2025-05-13 20:52:00,1.6245218254649776e-08
2025-05-13 23:42:00,1.7078739561713777e-08
2025-05-14 06:19:00,6.107357235031295e-09
2025-05-14 11:38:00,2.7469007837571925e-08
2025-05-14 13:31:00,3.8504699395418306e-08
2025-05-14 13:48:00,8.627971441253157e-08
2025-05-14 13:57:00,3.5029797692985886e-08
2025-05-15 07:04:00,6.240702527259423e-09
2025-05-16 20:54:00,2.0204144647055675e-08
2025-05-16 23:43:00,1.1854357638889101e-07
2025-05-17 04:06:00,9.38888310313056e-08
2025-05-17 04:07:00,5.818746709430096e-08
2025-05-17 04:27:00,3.016398803963891e-07
2025-05-17 20:21:00,7.320346484724506e-09
2025-05-17 22:22:00,5.181914532473197e-09
2025-05-18 14:23:00,1.570522165124643e-08
2025-05-18 17:19:00,1.4634868482647145e-08
2025-05-18 22:53:00,8.172132572159484e-09
2025-05-19 00:05:00,6.665644508360752e-08
2025-05-19 02:39:00,1.0473135776174306e-08
2025-05-19 02:54:00,2.5384884183566864e-08
2025-05-19 02:58:00,7.718732998196037e-09
2025-05-19 03:08:00,4.209302199635645e-08
2025-05-19 04:06:00,1.037904217493185e-08
2025-05-19 04:10:00,5.651317022532201e-08
2025-05-19 04:11:00,5.6515806124606606e-08
2025-05-19 04:15:00,6.258629939636478e-08
2025-05-19 05:59:00,1.825101228654669e-08
2025-05-19 07:08:00,2.6646407184412092e-08
2025-05-19 07:35:00,5.390777511973506e-08
2025-05-19 09:12:00,6.016276282585612e-08
2025-05-19 10:16:00,4.47504091367065e-08
2025-05-19 10:23:00,5.028592896035169e-08
2025-05-19 10:24:00,4.868405437665401e-08
2025-05-19 10:25:00,5.442332581335687e-07
2025-05-19 11:03:00,5.9579709147141354e-08
2025-05-19 11:11:00,1.66714512232851e-08
2025-05-19 11:15:00,2.2922356725213495e-08
2025-05-19 11:29:00,3.666114212200639e-08
2025-05-19 11:54:00,3.113290708321599e-08
2025-05-19 12:05:00,5.1716680772658574e-08
2025-05-19 12:10:00,3.190361052969757e-08
2025-05-19 12:11:00,2.5057381761906274e-07
2025-05-19 12:36:00,3.051683241279724e-08
2025-05-19 12:48:00,1.1878613913794624e-07
2025-05-19 12:49:00,1.1878635227724654e-07
2025-05-19 12:55:00,1.3761785175415488e-08
2025-05-19 13:17:00,3.596074270223559e-08
2025-05-19 13:45:00,6.488593829262404e-08
2025-05-19 13:58:00,2.6711589398717466e-08
2025-05-19 14:01:00,6.842848619124708e-08
2025-05-19 14:02:00,3.993595457569833e-08
2025-05-19 14:03:00,1.0983047552059147e-07
2025-05-19 14:06:00,4.9315110376771376e-08
2025-05-19 14:08:00,6.15795264977968e-08
2025-05-19 14:15:00,7.602836817349421e-08
2025-05-19 14:35:00,8.63767863095493e-09
2025-05-19 14:56:00,3.9356600455185975e-08
2025-05-19 14:57:00,3.5230918531090875e-08
2025-05-19 15:20:00,2.0304669733984204e-08
2025-05-19 15:22:00,5.736764136920581e-08
2025-05-19 15:25:00,9.078201074300459e-08
2025-05-19 15:34:00,2.222154750666326e-08
2025-05-19 15:40:00,1.85414254225811e-07
2025-05-19 15:41:00,7.474519873629287e-08
2025-05-19 15:48:00,3.3296855398697826e-08
2025-05-19 15:57:00,1.2621419673766917e-08
2025-05-19 16:01:00,4.728777711410524e-08
2025-05-19 16:32:00,6.959688390996663e-08
2025-05-19 16:50:00,7.575184962843142e-08
2025-05-19 16:54:00,2.599513779535237e-08
2025-05-19 17:08:00,4.9174623839542063e-08
2025-05-19 17:15:00,3.5611476614992844e-08
2025-05-19 17:55:00,1.6893466357590023e-07
2025-05-19 17:56:00,3.73602689272346e-08
2025-05-19 17:58:00,3.576916833278586e-08
2025-05-19 17:59:00,9.989684014492642e-08
2025-05-19 18:13:00,2.3020838466162957e-08
2025-05-19 20:43:00,5.965329010541659e-08
2025-05-19 20:46:00,5.8051691422260847e-08
2025-05-19 20:48:00,8.134987778361975e-08
2025-05-19 21:36:00,5.270276301410819e-08
2025-05-19 21:54:00,2.5534185719189707e-08
2025-05-19 22:43:00,5.1883564193119756e-08
2025-05-19 23:22:00,1.961919581593085e-08
2025-05-20 00:25:00,8.30688057850217e-09
2025-05-20 00:32:00,2.556947792773069e-08
2025-05-20 02:58:00,1.6043398992899295e-08
2025-05-20 03:04:00,2.204965949428161e-08
2025-05-20 03:15:00,8.430260286367448e-08
2025-05-20 04:45:00,3.622430600997799e-08
2025-05-20 04:55:00,2.173936436941815e-08
2025-05-20 05:45:00,3.86136545395068e-08
2025-05-20 05:46:00,3.878422909301963e-08
2025-05-20 06:02:00,2.9090794259756748e-08
2025-05-20 06:27:00,8.176884003634363e-08
2025-05-20 06:37:00,5.383789101493938e-08
2025-05-20 07:20:00,2.6530435977555417e-08
2025-05-20 09:01:00,4.067771647888756e-08
2025-05-20 13:23:00,1.1089066761707392e-07
2025-05-20 13:33:00,8.328114108416965e-08
2025-05-20 13:57:00,6.370319922846148e-08
2025-05-20 14:24:00,5.253113794721143e-08
2025-05-20 16:57:00,2.676961788811506e-08
