time,pgd
2025-05-11 21:13:00,2.791217083491769e-08
2025-05-14 09:15:00,3.809315744003134e-08
2025-05-14 13:34:00,2.8106191527074774e-07
2025-05-14 13:36:00,1.8258347899792406e-07
2025-05-14 15:39:00,5.4745303590417545e-08
2025-05-15 10:03:00,1.722739545274024e-08
2025-05-15 23:19:00,1.6698970838882093e-07
2025-05-16 22:57:00,4.7582445582530705e-08
2025-05-16 23:44:00,1.1854768580063752e-07
2025-05-17 04:08:00,5.818982376328281e-08
2025-05-19 09:05:00,1.893024329818749e-08
2025-05-19 09:39:00,3.381021952373213e-08
2025-05-19 09:52:00,5.103952880609403e-08
2025-05-19 10:04:00,6.827431066448428e-08
2025-05-19 10:27:00,7.315636075135827e-08
2025-05-19 12:16:00,6.616522434771456e-08
2025-05-19 12:17:00,6.616686738232287e-08
2025-05-19 12:18:00,1.271205328351465e-07
2025-05-19 12:23:00,4.02453441875597e-08
2025-05-19 12:26:00,4.428918719850646e-08
2025-05-19 12:27:00,7.158163778811866e-07
2025-05-19 12:29:00,4.964367261093199e-08
2025-05-19 12:59:00,8.256797084807203e-08
2025-05-19 13:02:00,5.677435402561715e-08
2025-05-19 13:07:00,6.870435091360724e-08
2025-05-19 13:08:00,6.972196933012715e-08
2025-05-19 13:09:00,1.1288488059256138e-07
2025-05-19 13:47:00,1.8325624200994662e-08
2025-05-19 14:00:00,8.19013236060467e-08
2025-05-19 14:07:00,1.502159540063972e-07
2025-05-19 14:09:00,1.379779075926582e-07
2025-05-19 14:10:00,4.152437563921143e-08
2025-05-19 14:11:00,4.912946817975553e-08
2025-05-19 14:16:00,7.772889348354058e-08
2025-05-19 14:17:00,6.19484692553152e-08
2025-05-19 14:19:00,7.208569716983878e-08
2025-05-19 14:21:00,4.092229015094125e-08
2025-05-19 14:24:00,6.432735175276488e-08
2025-05-19 14:26:00,1.1596461235462144e-07
2025-05-19 14:27:00,1.159621341938187e-07
2025-05-19 15:01:00,4.872949762817579e-08
2025-05-19 15:11:00,5.14899823567325e-08
2025-05-19 15:37:00,4.1011536873618686e-08
2025-05-19 15:38:00,3.963863490454695e-08
2025-05-19 15:44:00,6.144236579841862e-08
2025-05-19 15:45:00,6.144240713372049e-08
